FILIAL;SECAO;DATA;CMV;VALOR ESTOQUE;;VL_ESTQ;CMV;TOTAL
17;430;25/04/2021;R$ 0;R$ 0,00;;;;
17;432;25/04/2021;R$ 0;R$ 2.287,09;;;;
18;421;25/04/2021;R$ 0;R$ 293.338,79;;;;
1;411;26/04/2021;R$ 13.656,46;R$ 331.675,92;;;;
1;415;26/04/2021;R$ 2.976,61;R$ 107.251,81;;;;
1;417;26/04/2021;R$ 0;R$ 0,00;;;;
1;421;26/04/2021;R$ 3.503,34;R$ 537.902,50;;;;
1;423;26/04/2021;R$ 2.591,30;R$ 144.919,99;;;;
1;424;26/04/2021;R$ 3.305,61;R$ 127.126,80;;;;
1;440;26/04/2021;R$ 1.130,08;R$ 12.131,28;;;;
1;442;26/04/2021;R$ 0;R$ 689,48;;;;
2;421;26/04/2021;R$ 2.223,65;R$ 459.355,89;;;;
2;424;26/04/2021;R$ 3.277,86;R$ 108.131,17;;;;
2;426;26/04/2021;R$ 1.312,47;R$ 20.673,22;;;;
2;432;26/04/2021;R$ 0;R$ 1.327,10;;;;
2;433;26/04/2021;R$ 18.199,91;R$ 109.778,82;;;;
2;436;26/04/2021;R$ 25.523,62;R$ 382.822,13;;;;
3;422;26/04/2021;R$ 43,56;R$ 8.508,35;;;;
3;426;26/04/2021;R$ 2.241,55;R$ 34.951,74;;;;
3;428;26/04/2021;R$ 4.923,78;R$ 10.283,09;;;;
3;431;26/04/2021;R$ 4.322,34;R$ 89.099,55;;;;
3;433;26/04/2021;R$ 25.832,72;R$ 150.748,67;;;;
3;443;26/04/2021;R$ 2.603,14;R$ 65.983,13;;;;
4;411;26/04/2021;R$ 8.432,52;R$ 287.321,00;;;;
4;442;26/04/2021;R$ 0;R$ 450,00;;;;
7;431;26/04/2021;R$ 1.761,76;R$ 92.807,35;;;;
7;440;26/04/2021;R$ 859,63;R$ 14.532,81;;;;
7;442;26/04/2021;R$ 0;R$ 15,10;;;;
8;412;26/04/2021;R$ 5.957;R$ 358.599,83;;;;
8;424;26/04/2021;R$ 5.399,65;R$ 84.657,83;;;;
8;431;26/04/2021;R$ 2.381,76;R$ 132.528,35;;;;
8;434;26/04/2021;R$ 2.357,63;R$ 7.617,59;;;;
8;444;26/04/2021;R$ 138,93;R$ 1.587,68;;;;
9;426;26/04/2021;R$ 1.366,16;R$ 26.993,13;;;;
9;431;26/04/2021;R$ 2.260,31;R$ 75.859,98;;;;
9;442;26/04/2021;R$ 0;R$ 0,00;;;;
9;443;26/04/2021;R$ 1.905,62;R$ 63.055,79;;;;
10;412;26/04/2021;R$ 3.388,51;R$ 361.404,03;;;;
10;416;26/04/2021;R$ 5.299,26;R$ 103.872,43;;;;
10;440;26/04/2021;R$ 662,19;R$ 10.646,16;;;;
10;441;26/04/2021;R$ 246,98;R$ 19.998,50;;;;
10;443;26/04/2021;R$ 1.355,52;R$ 69.236,28;;;;
11;411;26/04/2021;R$ 9.803,72;R$ 346.998,67;;;;
11;428;26/04/2021;R$ 2.572,89;R$ 8.487,28;;;;
11;431;26/04/2021;R$ 2.402,63;R$ 121.698,88;;;;
11;435;26/04/2021;R$ 12.301,01;R$ 139.534,15;;;;
11;436;26/04/2021;R$ 24.357,69;R$ 507.155,29;;;;
12;416;26/04/2021;R$ 2.375,02;R$ 114.774,57;;;;
12;422;26/04/2021;R$ 50,97;R$ 9.247,98;;;;
14;415;26/04/2021;R$ 1.801,17;R$ 96.775,45;;;;
14;416;26/04/2021;R$ 4.017,03;R$ 104.973,05;;;;
14;433;26/04/2021;R$ 13.211,97;R$ 84.288,38;;;;
14;440;26/04/2021;R$ 787,75;R$ 22.829,96;;;;
15;421;26/04/2021;R$ 5.822,77;R$ 555.549,63;;;;
15;425;26/04/2021;R$ 1.426,30;R$ 64.363,78;;;;
15;443;26/04/2021;R$ 1.978,54;R$ 57.047,01;;;;
16;416;26/04/2021;R$ 5.365,97;R$ 128.178,30;;;;
16;417;26/04/2021;R$ 0;R$ 12.219,06;;;;
16;428;26/04/2021;R$ 3.318,44;R$ 23.383,87;;;;
16;431;26/04/2021;R$ 2.398,90;R$ 96.392,65;;;;
16;433;26/04/2021;R$ 20.848,34;R$ 130.829,78;;;;
17;411;26/04/2021;R$ 8.848,86;R$ 257.334,52;;;;
17;412;26/04/2021;R$ 4.033,81;R$ 353.750,48;;;;
17;430;26/04/2021;R$ 0;R$ 0,00;;;;
18;415;26/04/2021;R$ 1.905,67;R$ 81.763,32;;;;
18;433;26/04/2021;R$ 14.614,17;R$ 97.554,96;;;;
18;435;26/04/2021;R$ 12.433,47;R$ 95.130,96;;;;
18;445;26/04/2021;R$ 208,66;R$ 17.662,03;;;;
1;415;27/04/2021;R$ 2.832,76;R$ 106.842,47;;;;
1;421;27/04/2021;R$ 6.715,51;R$ 546.103,96;;;;
1;426;27/04/2021;R$ 1.276,94;R$ 33.359,33;;;;
1;427;27/04/2021;R$ 176,67;R$ 17.956,24;;;;
2;413;27/04/2021;R$ 9.519,08;R$ 359.570,01;;;;
2;420;27/04/2021;R$ 1.071,88;R$ 165.640,12;;;;
2;428;27/04/2021;R$ 3.886,10;R$ 68.960,67;;;;
3;415;27/04/2021;R$ 2.783,55;R$ 115.334,70;;;;
3;436;27/04/2021;R$ 35.683,31;R$ 561.232,47;;;;
4;425;27/04/2021;R$ 575,84;R$ 57.195,04;;;;
4;442;27/04/2021;R$ 0;R$ 450,00;;;;
7;441;27/04/2021;R$ 126,13;R$ 23.701,97;;;;
8;413;27/04/2021;R$ 14.794,37;R$ 381.174,62;;;;
8;432;27/04/2021;R$ 20,68;R$ 120,90;;;;
9;411;27/04/2021;R$ 11.314,63;R$ 378.951,91;;;;
9;424;27/04/2021;R$ 2.733,33;R$ 103.318,53;;;;
9;431;27/04/2021;R$ 2.215,92;R$ 75.190,94;;;;
10;417;27/04/2021;R$ 0;R$ 0,00;;;;
10;421;27/04/2021;R$ 3.729,52;R$ 577.322,85;;;;
10;422;27/04/2021;R$ 67,80;R$ 8.325,40;;;;
10;428;27/04/2021;R$ 2.491,03;R$ 22.847,78;;;;
10;430;27/04/2021;R$ 0;R$ 0,00;;;;
10;431;27/04/2021;R$ 1.656,67;R$ 78.924,93;;;;
10;445;27/04/2021;R$ 357,72;R$ 22.724,25;;;;
12;424;27/04/2021;R$ 1.109,84;R$ 97.907,59;;;;
12;426;27/04/2021;R$ 485,54;R$ 21.600,15;;;;
12;427;27/04/2021;R$ 137,44;R$ 10.233,87;;;;
12;428;27/04/2021;R$ 2.340,59;R$ 15.638,39;;;;
12;443;27/04/2021;R$ 882,39;R$ 56.327,49;;;;
12;445;27/04/2021;R$ 205,28;R$ 15.010,86;;;;
14;421;27/04/2021;R$ 4.734,23;R$ 487.076,31;;;;
14;434;27/04/2021;R$ 1.770,10;R$ 8.409,74;;;;
14;435;27/04/2021;R$ 12.417,94;R$ 131.280,85;;;;
14;440;27/04/2021;R$ 1.097,15;R$ 23.598,50;;;;
14;441;27/04/2021;R$ 102,84;R$ 25.228,84;;;;
15;411;27/04/2021;R$ 11.479,87;R$ 263.206,45;;;;
15;413;27/04/2021;R$ 11.614,56;R$ 378.094,34;;;;
15;414;27/04/2021;R$ 5.411,79;R$ 141.856,27;;;;
15;420;27/04/2021;R$ 3.892,23;R$ 231.924,65;;;;
15;422;27/04/2021;R$ 101,30;R$ 6.127,28;;;;
15;434;27/04/2021;R$ 1.861,19;R$ 8.060,10;;;;
16;432;27/04/2021;R$ 498,41;R$ 4.356,39;;;;
16;434;27/04/2021;R$ 2.359,05;R$ 8.179,19;;;;
16;440;27/04/2021;R$ 1.402,21;R$ 13.780,79;;;;
16;444;27/04/2021;R$ 63,44;R$ 2.984,20;;;;
16;445;27/04/2021;R$ 292,35;R$ 20.374,36;;;;
17;416;27/04/2021;R$ 4.360,62;R$ 121.164,50;;;;
17;421;27/04/2021;R$ 3.420,93;R$ 479.813,51;;;;
17;432;27/04/2021;R$ 388,64;R$ 2.140,48;;;;
17;442;27/04/2021;R$ 0;R$ 0,00;;;;
18;416;27/04/2021;R$ 3.714,55;R$ 93.998,42;;;;
18;421;27/04/2021;R$ 3.358,52;R$ 300.175,45;;;;
18;426;27/04/2021;R$ 817,19;R$ 23.553,20;;;;
18;428;27/04/2021;R$ 3.856,42;R$ 27.838,12;;;;
1;441;28/04/2021;R$ 230,07;R$ 19.192,92;;;;
2;413;28/04/2021;R$ 10.497,94;R$ 372.879,98;;;;
2;424;28/04/2021;R$ 2.957,86;R$ 106.761,10;;;;
2;427;28/04/2021;R$ 74,66;R$ 16.521,05;;;;
2;441;28/04/2021;R$ 304,84;R$ 19.126,28;;;;
2;442;28/04/2021;R$ 0;R$ 0,00;;;;
2;444;28/04/2021;R$ 58,38;R$ 4.437,02;;;;
3;415;28/04/2021;R$ 3.173,58;R$ 115.743,15;;;;
3;432;28/04/2021;R$ 12,60;R$ 164,49;;;;
3;443;28/04/2021;R$ 2.116,62;R$ 65.121,79;;;;
4;425;28/04/2021;R$ 598,90;R$ 56.596,10;;;;
4;427;28/04/2021;R$ 207,72;R$ 17.405,47;;;;
7;411;28/04/2021;R$ 13.988,69;R$ 357.508,53;;;;
7;436;28/04/2021;R$ 22.447,68;R$ 508.333,65;;;;
7;440;28/04/2021;R$ 964,02;R$ 14.574,75;;;;
8;414;28/04/2021;R$ 6.730,59;R$ 158.882,79;;;;
8;422;28/04/2021;R$ 59,90;R$ 6.820,30;;;;
8;436;28/04/2021;R$ 29.572,61;R$ 491.323,78;;;;
8;445;28/04/2021;R$ 523,85;R$ 23.382,45;;;;
9;414;28/04/2021;R$ 5.537,19;R$ 160.127,08;;;;
9;417;28/04/2021;R$ 0;R$ 0,00;;;;
9;424;28/04/2021;R$ 3.303,48;R$ 101.993,10;;;;
9;427;28/04/2021;R$ 103,56;R$ 15.400,08;;;;
9;433;28/04/2021;R$ 20.173,56;R$ 113.651,74;;;;
9;435;28/04/2021;R$ 12.172,97;R$ 138.108,61;;;;
9;436;28/04/2021;R$ 23.289,36;R$ 446.075,96;;;;
9;442;28/04/2021;R$ 0;R$ 0,00;;;;
10;412;28/04/2021;R$ 3.296,02;R$ 354.562,41;;;;
10;413;28/04/2021;R$ 10.499,94;R$ 339.339,92;;;;
10;415;28/04/2021;R$ 1.720,21;R$ 103.026,25;;;;
10;421;28/04/2021;R$ 3.039,03;R$ 576.708,99;;;;
10;425;28/04/2021;R$ 746,05;R$ 59.812,68;;;;
10;432;28/04/2021;R$ 133,03;R$ 565,81;;;;
10;433;28/04/2021;R$ 14.163,36;R$ 89.387,52;;;;
10;436;28/04/2021;R$ 20.372,23;R$ 509.222,60;;;;
10;441;28/04/2021;R$ 189,84;R$ 19.681,33;;;;
10;445;28/04/2021;R$ 274,56;R$ 22.449,72;;;;
11;414;28/04/2021;R$ 4.039,75;R$ 148.620,68;;;;
11;424;28/04/2021;R$ 2.117,23;R$ 104.021,24;;;;
11;435;28/04/2021;R$ 14.440,87;R$ 155.147,56;;;;
12;416;28/04/2021;R$ 2.614,99;R$ 119.915,07;;;;
12;424;28/04/2021;R$ 1.042,48;R$ 97.126,28;;;;
12;435;28/04/2021;R$ 10.952,54;R$ 117.858,21;;;;
12;436;28/04/2021;R$ 11.862,20;R$ 384.081,73;;;;
14;413;28/04/2021;R$ 9.986,98;R$ 364.261,66;;;;
14;420;28/04/2021;R$ 3.446,81;R$ 113.883,84;;;;
14;422;28/04/2021;R$ 0;R$ 9.998,59;;;;
14;430;28/04/2021;R$ 0;R$ 0,00;;;;
15;425;28/04/2021;R$ 1.049,16;R$ 62.904,43;;;;
15;441;28/04/2021;R$ 253,17;R$ 15.823,64;;;;
15;442;28/04/2021;R$ 0;R$ 154,60;;;;
17;413;28/04/2021;R$ 7.993,76;R$ 308.577,93;;;;
17;426;28/04/2021;R$ 979,06;R$ 32.063,01;;;;
17;433;28/04/2021;R$ 15.526,56;R$ 93.833,33;;;;
18;425;28/04/2021;R$ 735,43;R$ 41.099,81;;;;
18;434;28/04/2021;R$ 1.724,33;R$ 8.319,48;;;;
18;444;28/04/2021;R$ 69,38;R$ 1.601,48;;;;
1;413;29/04/2021;R$ 14.491,76;R$ 407.348,51;;;;
1;425;29/04/2021;R$ 1.360,43;R$ 61.187,20;;;;
1;433;29/04/2021;R$ 20.875,23;R$ 145.392,62;;;;
2;413;29/04/2021;R$ 9.719,39;R$ 376.264,35;;;;
2;430;29/04/2021;R$ 0;R$ 0,00;;;;
2;432;29/04/2021;R$ 0;R$ 1.322,79;;;;
2;440;29/04/2021;R$ 1.074,35;R$ 7.735,61;;;;
3;415;29/04/2021;R$ 3.422,68;R$ 116.617,07;;;;
3;417;29/04/2021;R$ 0;R$ 0,00;;;;
3;427;29/04/2021;R$ 463,99;R$ 17.655,07;;;;
3;434;29/04/2021;R$ 3.987,48;R$ 15.725,24;;;;
4;426;29/04/2021;R$ 999,12;R$ 21.957,04;;;;
4;436;29/04/2021;R$ 18.932,08;R$ 470.238,81;;;;
4;443;29/04/2021;R$ 1.392,40;R$ 60.275,31;;;;
4;445;29/04/2021;R$ 355,69;R$ 22.953,23;;;;
6;422;29/04/2021;R$ 0;R$ 0,00;;;;
7;413;29/04/2021;R$ 12.384,61;R$ 363.089,19;;;;
7;430;29/04/2021;R$ 0;R$ 0,00;;;;
7;442;29/04/2021;R$ 0;R$ 15,10;;;;
8;427;29/04/2021;R$ 250,34;R$ 12.711,62;;;;
8;431;29/04/2021;R$ 2.694,61;R$ 133.840,70;;;;
8;432;29/04/2021;R$ 26,32;R$ 120,90;;;;
8;433;29/04/2021;R$ 21.522,19;R$ 113.261,75;;;;
8;435;29/04/2021;R$ 22.495,83;R$ 208.696,31;;;;
9;412;29/04/2021;R$ 3.066,30;R$ 373.445,40;;;;
9;413;29/04/2021;R$ 11.639,40;R$ 416.561,53;;;;
9;424;29/04/2021;R$ 2.698,10;R$ 103.834,02;;;;
9;425;29/04/2021;R$ 982,93;R$ 56.207,54;;;;
9;436;29/04/2021;R$ 23.719,45;R$ 468.020,34;;;;
10;427;29/04/2021;R$ 203,24;R$ 10.501,43;;;;
10;435;29/04/2021;R$ 17.207,29;R$ 198.701,09;;;;
10;445;29/04/2021;R$ 256,23;R$ 25.358,82;;;;
11;412;29/04/2021;R$ 3.528,02;R$ 333.085,77;;;;
11;420;29/04/2021;R$ 1.137,79;R$ 178.597,24;;;;
11;430;29/04/2021;R$ 0;R$ 0,00;;;;
11;442;29/04/2021;R$ 0;R$ 0,00;;;;
11;444;29/04/2021;R$ 99,13;R$ 3.358,96;;;;
12;414;29/04/2021;R$ 2.480,81;R$ 133.728,29;;;;
12;420;29/04/2021;R$ 1.107,25;R$ 138.775,14;;;;
12;424;29/04/2021;R$ 1.135,29;R$ 100.085,87;;;;
12;433;29/04/2021;R$ 7.574,66;R$ 85.184,70;;;;
14;413;29/04/2021;R$ 11.774,12;R$ 385.601,97;;;;
15;417;29/04/2021;R$ 0;R$ 2.683,93;;;;
15;422;29/04/2021;R$ 364,41;R$ 6.254,23;;;;
15;432;29/04/2021;R$ 488,13;R$ 1.676,00;;;;
15;445;29/04/2021;R$ 307,12;R$ 15.558,00;;;;
16;414;29/04/2021;R$ 4.942,11;R$ 164.082,97;;;;
16;417;29/04/2021;R$ 0;R$ 12.219,06;;;;
16;425;29/04/2021;R$ 732,81;R$ 59.032,00;;;;
16;428;29/04/2021;R$ 3.393,09;R$ 25.942,04;;;;
16;432;29/04/2021;R$ 620,98;R$ 4.443,63;;;;
16;433;29/04/2021;R$ 19.717,21;R$ 134.068,42;;;;
17;416;29/04/2021;R$ 3.809,31;R$ 120.717,26;;;;
17;423;29/04/2021;R$ 2.075,82;R$ 135.376,34;;;;
17;425;29/04/2021;R$ 891,42;R$ 49.923,40;;;;
17;428;29/04/2021;R$ 3.094,86;R$ 30.623,95;;;;
17;432;29/04/2021;R$ 405,63;R$ 2.958,11;;;;
17;434;29/04/2021;R$ 2.095,68;R$ 9.484,87;;;;
18;411;29/04/2021;R$ 9.600,51;R$ 197.269,50;;;;
18;417;29/04/2021;R$ 0;R$ 0,00;;;;
18;425;29/04/2021;R$ 739,93;R$ 40.167,30;;;;
18;428;29/04/2021;R$ 3.069,48;R$ 19.364,91;;;;
18;436;29/04/2021;R$ 14.920,40;R$ 311.493,29;;;;
18;442;29/04/2021;R$ 0;R$ 0,00;;;;
1;426;30/04/2021;R$ 1.856,59;R$ 34.830,75;;;;
1;428;30/04/2021;R$ 3.463,28;R$ 26.611,97;;;;
1;432;30/04/2021;R$ 348,48;R$ 1.470,70;;;;
2;416;30/04/2021;R$ 5.739,93;R$ 124.612,08;;;;
2;420;30/04/2021;R$ 2.019,48;R$ 162.111,49;;;;
2;422;30/04/2021;R$ 217,90;R$ 9.739,69;;;;
2;425;30/04/2021;R$ 1.296,24;R$ 44.386,70;;;;
2;428;30/04/2021;R$ 4.357,56;R$ 60.399,97;;;;
3;420;30/04/2021;R$ 7.083,54;R$ 200.732,79;;;;
3;440;30/04/2021;R$ 3.420,96;R$ 13.387,66;;;;
4;424;30/04/2021;R$ 2.904,08;R$ 103.797,38;;;;
4;427;30/04/2021;R$ 217,50;R$ 16.979,53;;;;
7;411;30/04/2021;R$ 29.093,30;R$ 369.077,04;;;;
7;413;30/04/2021;R$ 17.487,65;R$ 398.789,47;;;;
7;428;30/04/2021;R$ 3.734,74;R$ 34.966,38;;;;
7;432;30/04/2021;R$ 203,11;R$ 3.971,75;;;;
7;443;30/04/2021;R$ 2.110,39;R$ 60.690,78;;;;
8;435;30/04/2021;R$ 45.419,04;R$ 206.870,46;;;;
8;441;30/04/2021;R$ 374,62;R$ 19.073,83;;;;
9;425;30/04/2021;R$ 1.564,55;R$ 55.376,31;;;;
9;433;30/04/2021;R$ 20.793,71;R$ 128.756,76;;;;
9;434;30/04/2021;R$ 2.643,16;R$ 8.457,01;;;;
10;412;30/04/2021;R$ 5.469,49;R$ 351.794,56;;;;
11;411;30/04/2021;R$ 23.257,26;R$ 371.889,11;;;;
11;435;30/04/2021;R$ 26.882,83;R$ 190.026,13;;;;
12;413;30/04/2021;R$ 10.542,89;R$ 387.482,35;;;;
12;416;30/04/2021;R$ 2.318,68;R$ 121.662,66;;;;
14;412;30/04/2021;R$ 4.037,72;R$ 331.261,67;;;;
14;430;30/04/2021;R$ 0;R$ 0,00;;;;
14;435;30/04/2021;R$ 40.369,51;R$ 182.470,22;;;;
15;444;30/04/2021;R$ 392,02;R$ 3.878,40;;;;
16;424;30/04/2021;R$ 3.367,78;R$ 98.674,95;;;;
16;433;30/04/2021;R$ 19.321,27;R$ 143.872,10;;;;
17;412;30/04/2021;R$ 4.797,96;R$ 349.070,77;;;;
17;415;30/04/2021;R$ 1.911,68;R$ 96.686,93;;;;
17;424;30/04/2021;R$ 3.285,07;R$ 106.405,18;;;;
17;434;30/04/2021;R$ 2.294,36;R$ 10.320,28;;;;
18;417;30/04/2021;R$ 0;R$ 0,00;;;;
18;434;30/04/2021;R$ 2.439,91;R$ 11.082,02;;;;
18;436;30/04/2021;R$ 21.911,93;R$ 317.745,33;;;;
1;412;01/04/2021;R$ 6.063,86;R$ 334.993,81;;;;
1;417;01/04/2021;R$ 0;R$ 187,60;;;;
1;425;01/04/2021;R$ 5.548,58;R$ 59.956,90;;;;
2;413;01/04/2021;R$ 40.893,71;R$ 381.743,28;;;;
2;423;01/04/2021;R$ 14.534;R$ 141.127,45;;;;
2;424;01/04/2021;R$ 5.441,53;R$ 100.332,19;;;;
3;421;01/04/2021;R$ 15.657,13;R$ 560.386,74;;;;
3;433;01/04/2021;R$ 46.768,04;R$ 138.179,72;;;;
3;441;01/04/2021;R$ 366,95;R$ 31.778,18;;;;
3;443;01/04/2021;R$ 3.037,38;R$ 63.009,62;;;;
4;411;01/04/2021;R$ 25.715,28;R$ 301.910,67;;;;
4;422;01/04/2021;R$ 75,90;R$ 8.778,70;;;;
6;420;01/04/2021;R$ 0;R$ 0,00;;;;
7;412;01/04/2021;R$ 6.072,11;R$ 358.846,66;;;;
7;415;01/04/2021;R$ 3.791,88;R$ 112.988,08;;;;
7;417;01/04/2021;R$ 0;R$ 0,00;;;;
7;433;01/04/2021;R$ 31.339,19;R$ 95.670,08;;;;
7;435;01/04/2021;R$ 32.860,59;R$ 162.422,96;;;;
7;436;01/04/2021;R$ 56.865,75;R$ 497.236,11;;;;
8;424;01/04/2021;R$ 8.461,31;R$ 80.308,74;;;;
8;426;01/04/2021;R$ 2.582,18;R$ 35.264,44;;;;
8;427;01/04/2021;R$ 383,81;R$ 10.076,14;;;;
8;432;01/04/2021;R$ 0;R$ 114,03;;;;
8;433;01/04/2021;R$ 42.189,25;R$ 94.617,94;;;;
9;424;01/04/2021;R$ 6.750;R$ 89.899,94;;;;
9;436;01/04/2021;R$ 42.975,28;R$ 484.054,65;;;;
9;441;01/04/2021;R$ 295,92;R$ 29.458,22;;;;
10;413;01/04/2021;R$ 47.309,26;R$ 355.361,21;;;;
10;417;01/04/2021;R$ 0;R$ 0,00;;;;
10;426;01/04/2021;R$ 2.838,91;R$ 31.396,25;;;;
10;432;01/04/2021;R$ 60,08;R$ 1.022,13;;;;
11;411;01/04/2021;R$ 28.214,19;R$ 351.604,94;;;;
11;423;01/04/2021;R$ 17.050,93;R$ 152.872,49;;;;
11;428;01/04/2021;R$ 3.560,77;R$ 37.217,50;;;;
11;432;01/04/2021;R$ 300,28;R$ 637,08;;;;
11;434;01/04/2021;R$ 3.315,42;R$ 9.820,59;;;;
11;436;01/04/2021;R$ 42.867,39;R$ 543.776,40;;;;
11;441;01/04/2021;R$ 312,63;R$ 28.860,00;;;;
11;443;01/04/2021;R$ 1.770,05;R$ 57.727,63;;;;
12;414;01/04/2021;R$ 6.653,09;R$ 143.036,32;;;;
12;420;01/04/2021;R$ 1.988,25;R$ 125.988,97;;;;
12;442;01/04/2021;R$ 0;R$ 0,00;;;;
12;444;01/04/2021;R$ 371,47;R$ 3.448,30;;;;
14;428;01/04/2021;R$ 2.997,25;R$ 20.085,71;;;;
14;443;01/04/2021;R$ 2.236,44;R$ 55.087,29;;;;
15;412;01/04/2021;R$ 5.212,14;R$ 356.020,76;;;;
15;416;01/04/2021;R$ 4.456,13;R$ 104.535,46;;;;
16;412;01/04/2021;R$ 5.868,82;R$ 337.467,35;;;;
16;420;01/04/2021;R$ 4.732,27;R$ 137.657,22;;;;
16;434;01/04/2021;R$ 4.049,69;R$ 9.834,03;;;;
16;441;01/04/2021;R$ 238,34;R$ 24.446,05;;;;
17;414;01/04/2021;R$ 9.135,16;R$ 124.365,33;;;;
17;420;01/04/2021;R$ 3.512,13;R$ 117.825,29;;;;
17;432;01/04/2021;R$ 247,18;R$ 1.634,11;;;;
17;435;01/04/2021;R$ 22.448,14;R$ 172.731,89;;;;
17;444;01/04/2021;R$ 279,89;R$ 2.331,53;;;;
18;414;01/04/2021;R$ 7.877,02;R$ 85.370,10;;;;
18;416;01/04/2021;R$ 4.902,57;R$ 83.369,22;;;;
18;421;01/04/2021;R$ 8.470,61;R$ 290.936,58;;;;
18;427;01/04/2021;R$ 304,94;R$ 12.907,30;;;;
18;431;01/04/2021;R$ 8.516,78;R$ 83.328,47;;;;
18;436;01/04/2021;R$ 33.524,54;R$ 328.586,47;;;;
18;441;01/04/2021;R$ 228,57;R$ 17.225,90;;;;
18;442;01/04/2021;R$ 0;R$ 0,00;;;;
1;424;02/04/2021;R$ 3.219,33;R$ 124.891,73;;;;
1;431;02/04/2021;R$ 4.031,60;R$ 121.199,06;;;;
2;411;02/04/2021;R$ 15.694,99;R$ 292.584,15;;;;
2;425;02/04/2021;R$ 2.483,88;R$ 44.593,70;;;;
2;434;02/04/2021;R$ 1.665,64;R$ 7.413,12;;;;
2;436;02/04/2021;R$ 19.543,83;R$ 425.872,84;;;;
2;440;02/04/2021;R$ 14,88;R$ 9.785,94;;;;
3;411;02/04/2021;R$ 32.997,82;R$ 407.029,88;;;;
3;421;02/04/2021;R$ 11.337,99;R$ 564.200,80;;;;
3;423;02/04/2021;R$ 14.562,12;R$ 165.425,39;;;;
3;427;02/04/2021;R$ 276,57;R$ 21.543,74;;;;
3;432;02/04/2021;R$ 17,83;R$ 145,74;;;;
3;433;02/04/2021;R$ 25.834,37;R$ 157.166,18;;;;
3;436;02/04/2021;R$ 43.006,38;R$ 570.404,12;;;;
6;422;02/04/2021;R$ 0;R$ 0,00;;;;
7;421;02/04/2021;R$ 5.734,76;R$ 448.986,57;;;;
7;424;02/04/2021;R$ 3.371,67;R$ 105.821,20;;;;
7;427;02/04/2021;R$ 303,17;R$ 15.109,84;;;;
7;433;02/04/2021;R$ 16.210,10;R$ 109.468,39;;;;
7;444;02/04/2021;R$ 350,40;R$ 4.819,30;;;;
8;424;02/04/2021;R$ 5.157,70;R$ 81.153,60;;;;
8;427;02/04/2021;R$ 542,45;R$ 16.573,54;;;;
8;432;02/04/2021;R$ 9,15;R$ 114,03;;;;
8;444;02/04/2021;R$ 345,44;R$ 3.103,10;;;;
8;445;02/04/2021;R$ 535,68;R$ 26.471,19;;;;
9;423;02/04/2021;R$ 9.036,06;R$ 134.399,34;;;;
9;425;02/04/2021;R$ 2.024,97;R$ 52.353,03;;;;
9;430;02/04/2021;R$ 0;R$ 0,00;;;;
9;443;02/04/2021;R$ 1.112,63;R$ 56.339,56;;;;
10;414;02/04/2021;R$ 6.680,69;R$ 135.675,67;;;;
11;420;02/04/2021;R$ 2.200,48;R$ 140.378,45;;;;
11;433;02/04/2021;R$ 14.051,95;R$ 107.142,68;;;;
12;413;02/04/2021;R$ 16.806,39;R$ 396.927,91;;;;
12;421;02/04/2021;R$ 5.219,46;R$ 434.628,53;;;;
12;422;02/04/2021;R$ 185,05;R$ 7.621,87;;;;
12;428;02/04/2021;R$ 5.410,34;R$ 19.706,75;;;;
12;430;02/04/2021;R$ 0;R$ 0,00;;;;
14;416;02/04/2021;R$ 3.085,63;R$ 103.597,76;;;;
14;434;02/04/2021;R$ 2.712,51;R$ 7.614,13;;;;
14;443;02/04/2021;R$ 1.168,64;R$ 54.504,69;;;;
15;412;02/04/2021;R$ 2.471,85;R$ 353.556,21;;;;
15;423;02/04/2021;R$ 8.699,71;R$ 138.644,45;;;;
15;442;02/04/2021;R$ 0;R$ 154,60;;;;
16;412;02/04/2021;R$ 3.237,33;R$ 338.384,63;;;;
16;422;02/04/2021;R$ 414,45;R$ 11.234,00;;;;
17;414;02/04/2021;R$ 4.258,49;R$ 127.028,62;;;;
17;421;02/04/2021;R$ 6.956,10;R$ 456.337,92;;;;
17;427;02/04/2021;R$ 203,05;R$ 13.683,28;;;;
18;425;02/04/2021;R$ 2.220,24;R$ 40.018,06;;;;
18;426;02/04/2021;R$ 1.057,74;R$ 15.418,03;;;;
18;445;02/04/2021;R$ 202,60;R$ 19.572,44;;;;
1;426;03/04/2021;R$ 2.255,09;R$ 31.532,63;;;;
1;430;03/04/2021;R$ 0;R$ 109,08;;;;
1;434;03/04/2021;R$ 3.793,88;R$ 12.331,18;;;;
1;436;03/04/2021;R$ 36.886,95;R$ 514.326,58;;;;
2;423;03/04/2021;R$ 14.913,37;R$ 131.014,59;;;;
2;433;03/04/2021;R$ 20.084,10;R$ 107.711,05;;;;
2;434;03/04/2021;R$ 2.913,22;R$ 7.204,72;;;;
2;435;03/04/2021;R$ 35.059,84;R$ 148.649,30;;;;
3;417;03/04/2021;R$ 0;R$ 0,00;;;;
3;421;03/04/2021;R$ 13.332,90;R$ 573.738,01;;;;
3;428;03/04/2021;R$ 6.988,38;R$ 19.332,84;;;;
3;440;03/04/2021;R$ 4.383,26;R$ 12.485,26;;;;
3;442;03/04/2021;R$ 0;R$ 0,00;;;;
3;444;03/04/2021;R$ 976,72;R$ 3.290,27;;;;
