FILIAL;SECAO;DATA;CMV;VALOR ESTOQUE;;VL_ESTQ;CMV;TOTAL
14;435;02/04/2021;R$ 28.013,49;R$ 202.174,68;;;;
14;444;02/04/2021;R$ 409,63;R$ 3.278,15;;;;
15;417;02/04/2021;R$ 0;R$ 2.683,93;;;;
15;421;02/04/2021;R$ 5.792,73;R$ 553.476,66;;;;
15;441;02/04/2021;R$ 161,26;R$ 19.164,73;;;;
16;414;02/04/2021;R$ 6.384,91;R$ 162.851,83;;;;
16;416;02/04/2021;R$ 3.762,85;R$ 133.830,55;;;;
16;433;02/04/2021;R$ 18.037,17;R$ 129.541,53;;;;
17;413;02/04/2021;R$ 15.514,34;R$ 335.003,69;;;;
17;436;02/04/2021;R$ 19.300,07;R$ 465.404,09;;;;
18;413;02/04/2021;R$ 17.026,37;R$ 259.611,95;;;;
18;436;02/04/2021;R$ 19.813,06;R$ 317.887,58;;;;
18;440;02/04/2021;R$ 1.068,10;R$ 8.897,17;;;;
1;443;03/04/2021;R$ 2.565,67;R$ 55.898,71;;;;
2;427;03/04/2021;R$ 261,60;R$ 17.604,27;;;;
2;442;03/04/2021;R$ 0;R$ 0,00;;;;
2;445;03/04/2021;R$ 1.032,27;R$ 24.336,24;;;;
3;411;03/04/2021;R$ 49.183,68;R$ 400.789,64;;;;
3;413;03/04/2021;R$ 52.999,95;R$ 488.770,39;;;;
3;441;03/04/2021;R$ 337,03;R$ 33.266,79;;;;
4;420;03/04/2021;R$ 2.057,39;R$ 99.208,97;;;;
4;433;03/04/2021;R$ 18.161,56;R$ 78.559,74;;;;
6;424;03/04/2021;R$ 0;R$ 988,80;;;;
7;416;03/04/2021;R$ 6.005,76;R$ 105.969,96;;;;
7;431;03/04/2021;R$ 4.067,80;R$ 90.463,70;;;;
8;433;03/04/2021;R$ 33.374,85;R$ 98.160,05;;;;
8;440;03/04/2021;R$ 2.232,49;R$ 12.974,04;;;;
9;412;03/04/2021;R$ 4.582,14;R$ 330.922,18;;;;
9;413;03/04/2021;R$ 29.887,61;R$ 415.273,49;;;;
9;428;03/04/2021;R$ 6.558,91;R$ 26.938,96;;;;
9;445;03/04/2021;R$ 521,43;R$ 24.957,60;;;;
10;420;03/04/2021;R$ 6.262,12;R$ 144.158,95;;;;
10;422;03/04/2021;R$ 407,39;R$ 7.240,75;;;;
10;433;03/04/2021;R$ 23.894,78;R$ 90.578,82;;;;
10;436;03/04/2021;R$ 41.405,90;R$ 497.732,20;;;;
11;412;03/04/2021;R$ 5.535,29;R$ 310.959,73;;;;
11;415;03/04/2021;R$ 2.882,79;R$ 106.841,35;;;;
11;417;03/04/2021;R$ 0;R$ 1.568,28;;;;
11;423;03/04/2021;R$ 18.473,98;R$ 139.612,05;;;;
11;428;03/04/2021;R$ 3.930,94;R$ 31.621,49;;;;
11;435;03/04/2021;R$ 38.650,06;R$ 163.670,52;;;;
12;411;03/04/2021;R$ 23.802,08;R$ 247.001,38;;;;
12;430;03/04/2021;R$ 0;R$ 0,00;;;;
12;432;03/04/2021;R$ 80,54;R$ 1.095,40;;;;
12;444;03/04/2021;R$ 928,56;R$ 4.311,88;;;;
14;413;03/04/2021;R$ 33.994,46;R$ 357.607,79;;;;
14;416;03/04/2021;R$ 5.702,75;R$ 109.205,44;;;;
15;412;03/04/2021;R$ 4.064,94;R$ 351.358,31;;;;
15;425;03/04/2021;R$ 2.644,50;R$ 48.528,17;;;;
16;412;03/04/2021;R$ 5.731,14;R$ 332.653,70;;;;
