FILIAL;SECAO;DATA;TOTAL 
3;422;02/04/2021;R$455,75;
3;431;02/04/2021;R$9697,01;
3;434;02/04/2021;R$18098,08;
4;412;02/04/2021;R$2378,25;
4;426;02/04/2021;R$1616,79;
4;435;02/04/2021;R$13677,86;
7;414;02/04/2021;R$11729,65;
7;416;02/04/2021;R$7098,44;
7;421;02/04/2021;R$14625,64;
8;423;02/04/2021;R$17772,1;
8;430;02/04/2021;R$0;
8;434;02/04/2021;R$10813,77;
8;443;02/04/2021;R$3822;
9;416;02/04/2021;R$4518,71;
9;425;02/04/2021;R$3310,33;
10;415;02/04/2021;R$3403,18;
10;416;02/04/2021;R$6883,42;
10;422;02/04/2021;R$266,34;
10;425;02/04/2021;R$3475,29;
10;436;02/04/2021;R$50425,67;
11;436;02/04/2021;R$36819,02;
12;422;02/04/2021;R$236,48;
12;423;02/04/2021;R$13925,86;
12;431;02/04/2021;R$5099,43;
14;413;02/04/2021;R$32747,81;
14;422;02/04/2021;R$230,57;
14;424;02/04/2021;R$6099,75;
15;411;02/04/2021;R$15579,54;
15;417;02/04/2021;R$0;
15;421;02/04/2021;R$14625,05;
15;442;02/04/2021;R$0;
15;444;02/04/2021;R$703,29;
16;434;02/04/2021;R$10912,88;
17;413;02/04/2021;R$23097,01;
17;421;02/04/2021;R$17692,66;
17;430;02/04/2021;R$0;
17;436;02/04/2021;R$31629,31;
18;413;02/04/2021;R$25204,76;
1;428;03/04/2021;R$11755,89;
1;430;03/04/2021;R$0;
1;431;03/04/2021;R$8376,54;
2;422;03/04/2021;R$208,88;
2;426;03/04/2021;R$2885,57;
2;436;03/04/2021;R$52745,24;
3;424;03/04/2021;R$10410,33;
3;443;03/04/2021;R$5652,45;
4;434;03/04/2021;R$15572,9;
7;413;03/04/2021;R$63727,16;
7;421;03/04/2021;R$22672,74;
7;433;03/04/2021;R$45951,3;
7;435;03/04/2021;R$88988,22;
7;443;03/04/2021;R$4810,55;
8;413;03/04/2021;R$58479,22;
8;420;03/04/2021;R$7265,29;
8;426;03/04/2021;R$3674,46;
8;441;03/04/2021;R$398,24;
8;444;03/04/2021;R$2176,2;
9;414;03/04/2021;R$14722,26;
9;415;03/04/2021;R$5707,94;
9;431;03/04/2021;R$7983,2;
9;441;03/04/2021;R$868,2;
10;417;03/04/2021;R$0;
10;434;03/04/2021;R$17801,38;
10;435;03/04/2021;R$73915,81;
10;445;03/04/2021;R$1262,95;
14;411;03/04/2021;R$51344,6;
14;422;03/04/2021;R$656,46;
14;428;03/04/2021;R$10675,07;
15;417;03/04/2021;R$0;
15;421;03/04/2021;R$19603,7;
15;435;03/04/2021;R$51153,2;
16;444;03/04/2021;R$1493,57;
17;423;03/04/2021;R$22574,2;
17;432;03/04/2021;R$528,35;
17;436;03/04/2021;R$48611,88;
18;412;03/04/2021;R$4924,81;
1;422;04/04/2021;R$0;
1;425;04/04/2021;R$0;
1;428;04/04/2021;R$0;
1;434;04/04/2021;R$0;
1;435;04/04/2021;R$0;
2;422;04/04/2021;R$0;
2;424;04/04/2021;R$0;
2;441;04/04/2021;R$0;
3;414;04/04/2021;R$0;
3;434;04/04/2021;R$0;
4;412;04/04/2021;R$0;
4;415;04/04/2021;R$0;
4;428;04/04/2021;R$0;
4;431;04/04/2021;R$0;
4;433;04/04/2021;R$0;
4;434;04/04/2021;R$0;
4;435;04/04/2021;R$0;
4;441;04/04/2021;R$0;
7;412;04/04/2021;R$0;
7;420;04/04/2021;R$0;
7;426;04/04/2021;R$0;
7;435;04/04/2021;R$0;
8;435;04/04/2021;R$0;
9;412;04/04/2021;R$0;
9;434;04/04/2021;R$0;
9;443;04/04/2021;R$0;
10;413;04/04/2021;R$0;
10;421;04/04/2021;R$0;
10;430;04/04/2021;R$0;
10;433;04/04/2021;R$0;
10;435;04/04/2021;R$0;
10;440;04/04/2021;R$0;
10;441;04/04/2021;R$0;
10;445;04/04/2021;R$0;
11;411;04/04/2021;R$0;
11;441;04/04/2021;R$0;
12;413;04/04/2021;R$0;
12;431;04/04/2021;R$0;
12;440;04/04/2021;R$0;
12;444;04/04/2021;R$0;
14;411;04/04/2021;R$0;
14;420;04/04/2021;R$0;
14;433;04/04/2021;R$0;
15;416;04/04/2021;R$0;
15;417;04/04/2021;R$0;
15;426;04/04/2021;R$0;
15;432;04/04/2021;R$0;
15;440;04/04/2021;R$0;
15;442;04/04/2021;R$0;
16;424;04/04/2021;R$0;
16;431;04/04/2021;R$0;
16;445;04/04/2021;R$0;
17;421;04/04/2021;R$0;
17;431;04/04/2021;R$0;
17;432;04/04/2021;R$0;
17;440;04/04/2021;R$0;
18;420;04/04/2021;R$0;
18;436;04/04/2021;R$0;
18;441;04/04/2021;R$0;
1;420;05/04/2021;R$977,4;
1;425;05/04/2021;R$1495,75;
1;426;05/04/2021;R$2087,32;
1;431;05/04/2021;R$3464,83;
1;443;05/04/2021;R$4349,31;
2;416;05/04/2021;R$8524,11;
2;423;05/04/2021;R$2835,54;
3;416;05/04/2021;R$9403,43;
3;435;05/04/2021;R$24211,66;
3;441;05/04/2021;R$574,54;
4;411;05/04/2021;R$10041,61;
4;413;05/04/2021;R$13014,41;
4;416;05/04/2021;R$6854,96;
4;420;05/04/2021;R$759,3;
4;423;05/04/2021;R$2650,79;
4;434;05/04/2021;R$7957,14;
6;423;05/04/2021;R$0;
7;416;05/04/2021;R$8001,82;
7;435;05/04/2021;R$18676,96;
7;436;05/04/2021;R$32315,2;
7;445;05/04/2021;R$673,82;
8;412;05/04/2021;R$7183,85;
8;426;05/04/2021;R$1999,73;
8;428;05/04/2021;R$7499,23;
9;421;05/04/2021;R$7106,3;
9;436;05/04/2021;R$34132,05;
9;443;05/04/2021;R$3216,48;
10;413;05/04/2021;R$10964,63;
10;416;05/04/2021;R$5973,95;
10;421;05/04/2021;R$5585,3;
10;435;05/04/2021;R$14007,98;
10;444;05/04/2021;R$142,97;
11;415;05/04/2021;R$2993,94;
11;417;05/04/2021;R$0;
11;436;05/04/2021;R$32425,52;
14;416;05/04/2021;R$4954,02;
14;420;05/04/2021;R$409,67;
14;423;05/04/2021;R$4342,44;
14;426;05/04/2021;R$1415,46;
14;444;05/04/2021;R$73,86;
15;411;05/04/2021;R$13257,55;
15;443;05/04/2021;R$4360,19;
16;427;05/04/2021;R$449,16;
16;433;05/04/2021;R$32199,59;
16;445;05/04/2021;R$546,96;
17;411;05/04/2021;R$10084,13;
17;445;05/04/2021;R$506,49;
18;415;05/04/2021;R$2420,92;
18;416;05/04/2021;R$6129,86;
18;421;05/04/2021;R$3418,31;
18;441;05/04/2021;R$704,11;
18;444;05/04/2021;R$13,9;
18;445;05/04/2021;R$429,68;
1;414;06/04/2021;R$9934,63;
1;417;06/04/2021;R$0;
1;434;06/04/2021;R$8926,04;
3;416;06/04/2021;R$9753,22;
3;422;06/04/2021;R$206,94;
3;426;06/04/2021;R$2433,24;
3;435;06/04/2021;R$24961,44;
3;444;06/04/2021;R$95,94;
4;422;06/04/2021;R$54,7;
4;425;06/04/2021;R$675,1;
4;426;06/04/2021;R$1329,13;
6;411;06/04/2021;R$0;
7;422;06/04/2021;R$55,27;
7;427;06/04/2021;R$54,9;
8;424;06/04/2021;R$7263,92;
8;428;06/04/2021;R$8511,22;
8;431;06/04/2021;R$3491,58;
8;444;06/04/2021;R$124,3;
9;422;06/04/2021;R$39,78;
9;428;06/04/2021;R$10586,04;
9;432;06/04/2021;R$49,4;
10;415;06/04/2021;R$2558,31;
10;426;06/04/2021;R$1649,22;
10;441;06/04/2021;R$585,98;
11;417;06/04/2021;R$0;
12;412;06/04/2021;R$2413,24;
12;414;06/04/2021;R$3657,69;
12;415;06/04/2021;R$2128,19;
12;422;06/04/2021;R$39,96;
12;443;06/04/2021;R$1691,75;
14;415;06/04/2021;R$2694,93;
14;424;06/04/2021;R$3952,78;
14;426;06/04/2021;R$1549,27;
14;428;06/04/2021;R$7318,4;
14;434;06/04/2021;R$6595,81;
15;412;06/04/2021;R$6907,13;
15;413;06/04/2021;R$15748,52;
15;432;06/04/2021;R$1114,78;
15;435;06/04/2021;R$23321,31;
16;423;06/04/2021;R$4623,97;
16;432;06/04/2021;R$911,7;
16;444;06/04/2021;R$78,62;
17;417;06/04/2021;R$0;
17;431;06/04/2021;R$2716,83;
17;441;06/04/2021;R$257,83;
17;443;06/04/2021;R$3258,58;
17;444;06/04/2021;R$25,98;
18;412;06/04/2021;R$4879,62;
18;416;06/04/2021;R$6439,36;
18;426;06/04/2021;R$1324,75;
18;445;06/04/2021;R$457,11;
1;414;07/04/2021;R$10108,09;
1;426;07/04/2021;R$2199,7;
1;440;07/04/2021;R$1915,74;
1;441;07/04/2021;R$600,97;
1;442;07/04/2021;R$0;
1;443;07/04/2021;R$3956,79;
2;427;07/04/2021;R$156,84;
2;428;07/04/2021;R$8190;
2;433;07/04/2021;R$25783,7;
3;420;07/04/2021;R$1434,65;
3;443;07/04/2021;R$4630,42;
4;412;07/04/2021;R$3375,32;
4;426;07/04/2021;R$1646,42;
4;440;07/04/2021;R$1047,4;
4;441;07/04/2021;R$420,33;
7;424;07/04/2021;R$3572,18;
8;420;07/04/2021;R$1633,86;
8;421;07/04/2021;R$15884,28;
9;412;07/04/2021;R$4676,41;
9;427;07/04/2021;R$245,72;
9;430;07/04/2021;R$0;
9;432;07/04/2021;R$65,1;
9;436;07/04/2021;R$32861,21;
10;417;07/04/2021;R$0;
10;423;07/04/2021;R$2728,43;
10;428;07/04/2021;R$8365,88;
10;433;07/04/2021;R$23082,49;
11;417;07/04/2021;R$0;
11;423;07/04/2021;R$2313,32;
11;430;07/04/2021;R$0;
11;433;07/04/2021;R$27016,76;
11;435;07/04/2021;R$17655;
11;445;07/04/2021;R$799,65;
12;411;07/04/2021;R$7119,29;
12;416;07/04/2021;R$4102,19;
12;423;07/04/2021;R$1955,44;
12;425;07/04/2021;R$844,24;
12;431;07/04/2021;R$2035;
12;433;07/04/2021;R$13884,07;
14;420;07/04/2021;R$1375,79;
14;421;07/04/2021;R$10599,09;
14;427;07/04/2021;R$219,6;
14;431;07/04/2021;R$2653,55;
14;443;07/04/2021;R$2357,26;
15;428;07/04/2021;R$11888,92;
15;445;07/04/2021;R$977,88;
16;414;07/04/2021;R$12180,57;
16;415;07/04/2021;R$3786,46;
17;423;07/04/2021;R$3029,12;
17;433;07/04/2021;R$26493,69;
18;423;07/04/2021;R$1871,06;
18;440;07/04/2021;R$1700,82;
1;415;08/04/2021;R$4456,21;
1;416;08/04/2021;R$10226,35;
1;422;08/04/2021;R$0;
1;426;08/04/2021;R$2260,36;
1;432;08/04/2021;R$658,37;
1;442;08/04/2021;R$0;
1;444;08/04/2021;R$192,74;
2;421;08/04/2021;R$11164,04;
2;422;08/04/2021;R$41,93;
2;426;08/04/2021;R$1929,83;
2;427;08/04/2021;R$235,63;
2;445;08/04/2021;R$816,02;
3;417;08/04/2021;R$0;
3;425;08/04/2021;R$2212,13;
3;433;08/04/2021;R$40801,04;
4;426;08/04/2021;R$1453,2;
4;440;08/04/2021;R$1210,92;
7;434;08/04/2021;R$8378,91;
8;423;08/04/2021;R$4391,36;
9;422;08/04/2021;R$64,68;
9;424;08/04/2021;R$5405,94;
9;425;08/04/2021;R$2242,75;
9;427;08/04/2021;R$296,56;
9;445;08/04/2021;R$629,84;
10;413;08/04/2021;R$14777,09;
10;423;08/04/2021;R$3358,57;
10;425;08/04/2021;R$1123,51;
10;427;08/04/2021;R$478,14;
10;431;08/04/2021;R$2413,9;
10;441;08/04/2021;R$642,15;
11;416;08/04/2021;R$7065,14;
11;421;08/04/2021;R$10727,25;
11;427;08/04/2021;R$452,18;
11;443;08/04/2021;R$2882,67;
12;434;08/04/2021;R$4402,54;
14;417;08/04/2021;R$0;
14;421;08/04/2021;R$10750,67;
14;427;08/04/2021;R$287,48;
14;435;08/04/2021;R$22477,28;
16;414;08/04/2021;R$8984,13;
16;415;08/04/2021;R$4448,9;
16;425;08/04/2021;R$1487,83;
16;436;08/04/2021;R$37160,83;
16;445;08/04/2021;R$853,09;
17;414;08/04/2021;R$6618,23;
17;435;08/04/2021;R$18876,81;
18;424;08/04/2021;R$2688,09;
18;431;08/04/2021;R$3333,97;
18;432;08/04/2021;R$200,08;
18;433;08/04/2021;R$19677,01;
18;434;08/04/2021;R$5293,36;
1;432;09/04/2021;R$646,99;
2;430;09/04/2021;R$0;
3;413;09/04/2021;R$31754,65;
3;431;09/04/2021;R$9326,53;
3;435;09/04/2021;R$61214,17;
3;444;09/04/2021;R$624,83;
4;413;09/04/2021;R$16020,86;
4;424;09/04/2021;R$4165,21;
4;427;09/04/2021;R$329,4;
4;434;09/04/2021;R$10298,63;
4;442;09/04/2021;R$0;
4;445;09/04/2021;R$905,36;
6;424;09/04/2021;R$64,6;
7;424;09/04/2021;R$7378,42;
7;431;09/04/2021;R$4438,93;
7;441;09/04/2021;R$510,63;
8;422;09/04/2021;R$76,4;
8;436;09/04/2021;R$58943,13;
9;412;09/04/2021;R$5134,03;
9;415;09/04/2021;R$3784,24;
9;424;09/04/2021;R$7143,32;
9;426;09/04/2021;R$2384,69;
9;431;09/04/2021;R$4697,35;
9;434;09/04/2021;R$9322,1;
9;441;09/04/2021;R$346,16;
10;411;09/04/2021;R$31756,75;
10;423;09/04/2021;R$3178,01;
10;435;09/04/2021;R$41469,49;
11;423;09/04/2021;R$3554,16;
11;426;09/04/2021;R$2482,76;
11;430;09/04/2021;R$0;
11;433;09/04/2021;R$29046,45;
11;435;09/04/2021;R$31313,2;
11;440;09/04/2021;R$3442,39;
11;443;09/04/2021;R$2976,1;
12;414;09/04/2021;R$6577,36;
12;416;09/04/2021;R$3927,73;
12;422;09/04/2021;R$141,47;
12;424;09/04/2021;R$3521,2;
12;436;09/04/2021;R$27705,62;
12;441;09/04/2021;R$300,08;
14;416;09/04/2021;R$6243,47;
14;423;09/04/2021;R$3464,72;
14;432;09/04/2021;R$388,24;
15;420;09/04/2021;R$10126,59;
15;426;09/04/2021;R$3020,09;
15;442;09/04/2021;R$0;
15;444;09/04/2021;R$806,68;
16;413;09/04/2021;R$20639,45;
16;423;09/04/2021;R$4410,47;
16;436;09/04/2021;R$45032,54;
16;444;09/04/2021;R$257,33;
17;441;09/04/2021;R$328,05;
18;411;09/04/2021;R$20170,53;
18;420;09/04/2021;R$2583,36;
18;426;09/04/2021;R$2254,7;
18;435;09/04/2021;R$32231,08;
1;411;10/04/2021;R$43433,25;
1;415;10/04/2021;R$3992,05;
1;421;10/04/2021;R$19578,01;
1;435;10/04/2021;R$51413,17;
2;420;10/04/2021;R$4104,36;
2;421;10/04/2021;R$15305,19;
2;424;10/04/2021;R$6810,52;
2;425;10/04/2021;R$2758,1;
2;426;10/04/2021;R$2914,29;
2;431;10/04/2021;R$4765,87;
2;432;10/04/2021;R$4,9;
3;411;10/04/2021;R$69822,58;
3;414;10/04/2021;R$19797,52;
3;420;10/04/2021;R$6943,12;
3;422;10/04/2021;R$560,1;
3;426;10/04/2021;R$4692,89;
3;427;10/04/2021;R$818,52;
3;441;10/04/2021;R$385,98;
3;445;10/04/2021;R$1276,61;
4;432;10/04/2021;R$398,77;
4;433;10/04/2021;R$28586,9;
7;411;10/04/2021;R$55330,46;
7;432;10/04/2021;R$599,05;
7;444;10/04/2021;R$1921,79;
8;415;10/04/2021;R$5264,68;
8;416;10/04/2021;R$11722,83;
8;424;10/04/2021;R$11884,77;
8;433;10/04/2021;R$53586,91;
8;434;10/04/2021;R$14895,59;
8;436;10/04/2021;R$68324,95;
9;413;10/04/2021;R$25199,49;
9;415;10/04/2021;R$5629,61;
9;436;10/04/2021;R$55568,12;
11;412;10/04/2021;R$8494,85;
11;425;10/04/2021;R$2651,34;
11;426;10/04/2021;R$3602,31;
11;431;10/04/2021;R$6367,02;
11;444;10/04/2021;R$737,14;
12;411;10/04/2021;R$28109,79;
12;415;10/04/2021;R$2650,16;
12;422;10/04/2021;R$801,47;
12;435;10/04/2021;R$45425,03;
14;414;10/04/2021;R$13766,84;
14;443;10/04/2021;R$4236,38;
17;412;10/04/2021;R$9035,7;
17;416;10/04/2021;R$8551,02;
17;420;10/04/2021;R$6928,69;
17;425;10/04/2021;R$4779,22;
17;428;10/04/2021;R$9081,46;
17;440;10/04/2021;R$2995,82;
17;444;10/04/2021;R$901,73;
18;435;10/04/2021;R$51244,2;
18;444;10/04/2021;R$1217,06;
1;411;11/04/2021;R$0;
2;415;11/04/2021;R$0;
2;421;11/04/2021;R$0;
2;422;11/04/2021;R$0;
2;423;11/04/2021;R$0;
2;440;11/04/2021;R$0;
3;415;11/04/2021;R$0;
3;426;11/04/2021;R$0;
3;428;11/04/2021;R$0;
3;431;11/04/2021;R$0;
3;436;11/04/2021;R$0;
3;442;11/04/2021;R$0;
3;443;11/04/2021;R$0;
4;421;11/04/2021;R$0;
4;435;11/04/2021;R$0;
4;444;11/04/2021;R$0;
7;421;11/04/2021;R$0;
7;426;11/04/2021;R$0;
7;427;11/04/2021;R$0;
7;440;11/04/2021;R$0;
8;421;11/04/2021;R$1019,6;
8;423;11/04/2021;R$283,31;
8;426;11/04/2021;R$38,1;
8;427;11/04/2021;R$109,8;
8;430;11/04/2021;R$0;
8;441;11/04/2021;R$15,98;
8;443;11/04/2021;R$295,55;
8;445;11/04/2021;R$151,8;
9;416;11/04/2021;R$0;
9;424;11/04/2021;R$0;
9;427;11/04/2021;R$0;
9;434;11/04/2021;R$0;
10;412;11/04/2021;R$0;
10;413;11/04/2021;R$0;
10;414;11/04/2021;R$0;
10;415;11/04/2021;R$0;
10;427;11/04/2021;R$0;
10;445;11/04/2021;R$0;
11;420;11/04/2021;R$0;
11;434;11/04/2021;R$0;
11;444;11/04/2021;R$0;
12;420;11/04/2021;R$0;
12;430;11/04/2021;R$0;
12;433;11/04/2021;R$37,26;
12;440;11/04/2021;R$0;
14;411;11/04/2021;R$0;
14;420;11/04/2021;R$0;
14;423;11/04/2021;R$0;
14;435;11/04/2021;R$0;
15;420;11/04/2021;R$0;
15;424;11/04/2021;R$0;
15;442;11/04/2021;R$0;
16;416;11/04/2021;R$1244,02;
16;423;11/04/2021;R$139,88;
16;425;11/04/2021;R$105,95;
16;440;11/04/2021;R$19,8;
17;421;11/04/2021;R$0;
17;431;11/04/2021;R$0;
17;443;11/04/2021;R$0;
18;420;11/04/2021;R$0;
1;411;12/04/2021;R$19007,64;
1;426;12/04/2021;R$2595,13;
1;432;12/04/2021;R$483,87;
2;411;12/04/2021;R$15040,22;
2;412;12/04/2021;R$6292,84;
2;413;12/04/2021;R$17138,27;
2;436;12/04/2021;R$38920,19;
3;414;12/04/2021;R$13178,56;
3;421;12/04/2021;R$11305,67;
3;422;12/04/2021;R$24,9;
3;426;12/04/2021;R$3020,77;
3;434;12/04/2021;R$15014,71;
3;436;12/04/2021;R$61109,61;
3;444;12/04/2021;R$171,72;
4;436;12/04/2021;R$31109,37;
4;443;12/04/2021;R$3398,6;
7;411;12/04/2021;R$15337,02;
7;420;12/04/2021;R$629,48;
7;425;12/04/2021;R$1996,7;
7;431;12/04/2021;R$2397,82;
7;435;12/04/2021;R$22503,21;
7;442;12/04/2021;R$0;
8;413;12/04/2021;R$21873,03;
8;415;12/04/2021;R$5982,93;
8;426;12/04/2021;R$2234,91;
9;422;12/04/2021;R$68,87;
9;424;12/04/2021;R$4217,77;
9;425;12/04/2021;R$2131,94;
9;430;12/04/2021;R$0;
9;434;12/04/2021;R$7935,27;
9;435;12/04/2021;R$19832,72;
9;440;12/04/2021;R$2062,79;
9;441;12/04/2021;R$580,06;
9;443;12/04/2021;R$4627,96;
10;415;12/04/2021;R$4385,77;
10;427;12/04/2021;R$276,5;
10;440;12/04/2021;R$1348,57;
11;411;12/04/2021;R$13634,7;
11;416;12/04/2021;R$7498,42;
11;423;12/04/2021;R$2981,41;
11;443;12/04/2021;R$2541,72;
12;411;12/04/2021;R$8024,91;
12;416;12/04/2021;R$4826,02;
12;431;12/04/2021;R$1767,65;
12;436;12/04/2021;R$22731,8;
12;441;12/04/2021;R$360,34;
15;420;12/04/2021;R$2553,56;
15;424;12/04/2021;R$5794,9;
15;428;12/04/2021;R$12672;
15;443;12/04/2021;R$5786,85;
16;422;12/04/2021;R$131,78;
17;421;12/04/2021;R$7375,72;
17;428;12/04/2021;R$8467,68;
17;432;12/04/2021;R$555,09;
17;434;12/04/2021;R$7433,79;
17;443;12/04/2021;R$3033,81;
18;415;12/04/2021;R$3198,73;
18;425;12/04/2021;R$1122,47;
18;435;12/04/2021;R$18141,29;
1;415;13/04/2021;R$4963,48;
1;420;13/04/2021;R$2507;
1;426;13/04/2021;R$2013,96;
1;432;13/04/2021;R$587,45;
2;416;13/04/2021;R$9212,26;
2;427;13/04/2021;R$109,8;
2;434;13/04/2021;R$7812,52;
2;440;13/04/2021;R$3025,81;
3;411;13/04/2021;R$24596,47;
3;423;13/04/2021;R$5457,78;
3;425;13/04/2021;R$2348,74;
3;427;13/04/2021;R$324,41;
3;428;13/04/2021;R$13799,31;
3;442;13/04/2021;R$0;
4;415;13/04/2021;R$2719,32;
4;422;13/04/2021;R$27,95;
4;426;13/04/2021;R$1281,99;
4;433;13/04/2021;R$20241,14;
4;435;13/04/2021;R$15132,35;
7;414;13/04/2021;R$7338,43;
7;422;13/04/2021;R$91,78;
7;431;13/04/2021;R$2461,99;
7;436;13/04/2021;R$36301,92;
7;441;13/04/2021;R$255,68;
8;412;13/04/2021;R$7728,3;
8;414;13/04/2021;R$11172,54;
8;417;13/04/2021;R$0;
8;422;13/04/2021;R$77,69;
8;433;13/04/2021;R$38521,47;
8;443;13/04/2021;R$5456,64;
9;411;13/04/2021;R$14336,39;
9;432;13/04/2021;R$77,9;
10;442;13/04/2021;R$0;
11;421;13/04/2021;R$7378,9;
11;430;13/04/2021;R$0;
12;428;13/04/2021;R$5610,89;
12;436;13/04/2021;R$19398,83;
12;440;13/04/2021;R$861;
12;444;13/04/2021;R$60,95;
14;415;13/04/2021;R$3106,6;
14;427;13/04/2021;R$353,38;
16;420;13/04/2021;R$2613,46;
16;427;13/04/2021;R$180,66;
16;433;13/04/2021;R$32028,12;
17;412;13/04/2021;R$4985,7;
17;414;13/04/2021;R$7769,75;
17;417;13/04/2021;R$0;
17;420;13/04/2021;R$2392,53;
17;422;13/04/2021;R$129,7;
18;411;13/04/2021;R$11504,69;
18;428;13/04/2021;R$8519;
18;434;13/04/2021;R$6334,92;
18;440;13/04/2021;R$2032,52;
1;414;14/04/2021;R$10102,43;
1;415;14/04/2021;R$4113,84;
1;423;14/04/2021;R$2760,66;
1;436;14/04/2021;R$39136,28;
2;414;14/04/2021;R$8795,43;
3;424;14/04/2021;R$6016,77;
3;431;14/04/2021;R$5496;
3;434;14/04/2021;R$16038,5;
4;416;14/04/2021;R$6544,94;
4;420;14/04/2021;R$1122,76;
7;413;14/04/2021;R$15472,73;
7;420;14/04/2021;R$2317,52;
7;436;14/04/2021;R$33374,9;
7;444;14/04/2021;R$138,84;
8;426;14/04/2021;R$1949,29;
8;435;14/04/2021;R$27154,83;
9;412;14/04/2021;R$4722,8;
10;433;14/04/2021;R$21885,91;
11;436;14/04/2021;R$33172,62;
11;440;14/04/2021;R$2504,34;
14;412;14/04/2021;R$3843,42;
14;413;14/04/2021;R$13663,31;
14;433;14/04/2021;R$23838,54;
14;435;14/04/2021;R$18834,56;
14;441;14/04/2021;R$440,15;
15;415;14/04/2021;R$4661,91;
16;412;14/04/2021;R$5389,85;
16;416;14/04/2021;R$7438,26;
16;417;14/04/2021;R$0;
16;432;14/04/2021;R$1078,08;
17;424;14/04/2021;R$3916,69;
17;430;14/04/2021;R$0;
17;432;14/04/2021;R$760,19;
18;433;14/04/2021;R$19152,77;
1;430;15/04/2021;R$0;
1;432;15/04/2021;R$811,55;
1;443;15/04/2021;R$4584,73;
1;445;15/04/2021;R$883,16;
2;423;15/04/2021;R$3605,3;
2;440;15/04/2021;R$2870,86;
3;412;15/04/2021;R$7922,31;
3;424;15/04/2021;R$6819,41;
4;415;15/04/2021;R$1851,73;
4;440;15/04/2021;R$1294,32;
6;424;15/04/2021;R$79,8;
7;425;15/04/2021;R$1845,45;
7;433;15/04/2021;R$22045,5;
8;413;15/04/2021;R$20344,54;
8;431;15/04/2021;R$4815,93;
8;444;15/04/2021;R$317,29;
9;440;15/04/2021;R$2888,58;
10;413;15/04/2021;R$16088,24;
10;427;15/04/2021;R$399,3;
10;436;15/04/2021;R$30008,84;
11;424;15/04/2021;R$4736,59;
12;440;15/04/2021;R$1745,83;
14;420;15/04/2021;R$3538,68;
15;427;15/04/2021;R$790,62;
15;428;15/04/2021;R$14385,95;
15;445;15/04/2021;R$639,13;
16;413;15/04/2021;R$19016,18;
16;433;15/04/2021;R$30885,16;
16;435;15/04/2021;R$22237,25;
16;443;15/04/2021;R$3366,31;
17;421;15/04/2021;R$11014,53;
17;426;15/04/2021;R$1994,96;
17;427;15/04/2021;R$420,24;
17;434;15/04/2021;R$6729,17;
17;435;15/04/2021;R$15861,2;
18;416;15/04/2021;R$6661,29;
18;420;15/04/2021;R$1404,5;
18;421;15/04/2021;R$8848,28;
18;425;15/04/2021;R$891,03;
18;431;15/04/2021;R$2223,15;
18;434;15/04/2021;R$5596,93;
18;441;15/04/2021;R$448,07;
18;444;15/04/2021;R$65,96;
1;421;16/04/2021;R$19987,51;
1;444;16/04/2021;R$412,41;
2;441;16/04/2021;R$617,85;
3;411;16/04/2021;R$51184,84;
4;421;16/04/2021;R$10435,33;
4;423;16/04/2021;R$2877,7;
6;411;16/04/2021;R$0;
7;415;16/04/2021;R$3911,13;
7;420;16/04/2021;R$4359,57;
7;430;16/04/2021;R$0;
7;431;16/04/2021;R$4713,36;
8;415;16/04/2021;R$5150,29;
8;425;16/04/2021;R$3498,25;
8;427;16/04/2021;R$413,03;
8;436;16/04/2021;R$57121,44;
9;436;16/04/2021;R$42170,81;
10;417;16/04/2021;R$0;
10;432;16/04/2021;R$424,82;
10;434;16/04/2021;R$8519,81;
10;443;16/04/2021;R$3295,98;
11;416;16/04/2021;R$7976,51;
11;421;16/04/2021;R$17276,12;
11;422;16/04/2021;R$283,89;
11;427;16/04/2021;R$719,79;
11;433;16/04/2021;R$28841,22;
14;422;16/04/2021;R$438,18;
14;434;16/04/2021;R$10455,68;
14;440;16/04/2021;R$4083,65;
14;443;16/04/2021;R$2253,06;
15;428;16/04/2021;R$14422,72;
15;432;16/04/2021;R$1641,19;
15;441;16/04/2021;R$614,46;
15;443;16/04/2021;R$4397,34;
16;426;16/04/2021;R$3059,08;
16;427;16/04/2021;R$466,15;
16;436;16/04/2021;R$41855,69;
17;430;16/04/2021;R$0;
17;435;16/04/2021;R$20931,86;
17;443;16/04/2021;R$2761,39;
18;412;16/04/2021;R$3479,48;
18;413;16/04/2021;R$14831,87;
18;432;16/04/2021;R$126,12;
18;433;16/04/2021;R$22482,2;
18;435;16/04/2021;R$26006,56;
1;411;17/04/2021;R$39935,75;
1;431;17/04/2021;R$7271,07;
1;435;17/04/2021;R$40312,26;
1;436;17/04/2021;R$59278,74;
2;426;17/04/2021;R$2244,48;
3;415;17/04/2021;R$7116,56;
3;423;17/04/2021;R$7424,65;
3;425;17/04/2021;R$3400,56;
3;445;17/04/2021;R$1865,6;
4;412;17/04/2021;R$4190,9;
4;420;17/04/2021;R$2441,16;
4;425;17/04/2021;R$1576,84;
4;431;17/04/2021;R$4661,81;
4;444;17/04/2021;R$830,32;
7;411;17/04/2021;R$48831,1;
8;427;17/04/2021;R$1005,78;
8;436;17/04/2021;R$75092,88;
9;434;17/04/2021;R$11951,53;
9;436;17/04/2021;R$52963,71;
9;444;17/04/2021;R$1251,62;
10;421;17/04/2021;R$30857,8;
10;424;17/04/2021;R$9792,42;
