FILIAL;SECAO;DATA;TOTAL
4;432;04/04/2021;R$0;
6;411;04/04/2021;R$0;
8;411;04/04/2021;R$0;
8;416;04/04/2021;R$0;
8;436;04/04/2021;R$0;
9;428;04/04/2021;R$0;
9;436;04/04/2021;R$0;
10;415;04/04/2021;R$0;
10;416;04/04/2021;R$0;
10;427;04/04/2021;R$0;
10;436;04/04/2021;R$0;
10;443;04/04/2021;R$0;
11;427;04/04/2021;R$0;
11;443;04/04/2021;R$0;
12;423;04/04/2021;R$0;
14;412;04/04/2021;R$0;
14;414;04/04/2021;R$0;
14;444;04/04/2021;R$0;
15;427;04/04/2021;R$0;
15;444;04/04/2021;R$0;
16;417;04/04/2021;R$0;
16;421;04/04/2021;R$0;
16;428;04/04/2021;R$0;
17;424;04/04/2021;R$0;
18;411;04/04/2021;R$0;
18;414;04/04/2021;R$0;
18;422;04/04/2021;R$0;
18;440;04/04/2021;R$0;
1;411;05/04/2021;R$16201,6;
1;417;05/04/2021;R$0;
1;422;05/04/2021;R$19,9;
1;427;05/04/2021;R$39,92;
1;444;05/04/2021;R$83,94;
2;411;05/04/2021;R$11679,36;
2;421;05/04/2021;R$5476,51;
2;427;05/04/2021;R$110,83;
3;414;05/04/2021;R$10886,71;
3;427;05/04/2021;R$264,54;
3;431;05/04/2021;R$4005,18;
3;444;05/04/2021;R$101,3;
4;435;05/04/2021;R$13694,01;
7;431;05/04/2021;R$2926,29;
7;442;05/04/2021;R$0;
8;414;05/04/2021;R$10431,53;
8;424;05/04/2021;R$5960,25;
9;420;05/04/2021;R$893,17;
9;430;05/04/2021;R$0;
10;414;05/04/2021;R$6049,14;
10;417;05/04/2021;R$0;
10;436;05/04/2021;R$26288,75;
10;443;05/04/2021;R$2469,97;
11;420;05/04/2021;R$613,99;
12;421;05/04/2021;R$3457,1;
12;444;05/04/2021;R$49,36;
14;411;05/04/2021;R$10177,04;
14;412;05/04/2021;R$4116,63;
14;415;05/04/2021;R$2952,33;
14;427;05/04/2021;R$526,05;
14;432;05/04/2021;R$390,7;
14;433;05/04/2021;R$20183,27;
14;443;05/04/2021;R$1917,45;
15;445;05/04/2021;R$698,39;
16;417;05/04/2021;R$0;
16;423;05/04/2021;R$3398,43;
16;441;05/04/2021;R$361,77;
17;417;05/04/2021;R$0;
17;434;05/04/2021;R$4955,07;
18;414;05/04/2021;R$6419,39;
18;420;05/04/2021;R$1332,99;
18;424;05/04/2021;R$3159,61;
18;426;05/04/2021;R$1255,36;
1;442;06/04/2021;R$0;
2;422;06/04/2021;R$73,82;
2;427;06/04/2021;R$139,8;
2;444;06/04/2021;R$147,36;
4;423;06/04/2021;R$2346,42;
4;424;06/04/2021;R$3067,19;
4;445;06/04/2021;R$848,01;
7;416;06/04/2021;R$8764,38;
7;423;06/04/2021;R$2111,26;
7;430;06/04/2021;R$0;
7;440;06/04/2021;R$2712,67;
7;443;06/04/2021;R$3625,16;
8;415;06/04/2021;R$5557,18;
8;421;06/04/2021;R$13374,86;
8;423;06/04/2021;R$5387,03;
8;432;06/04/2021;R$58,42;
9;416;06/04/2021;R$7190,71;
9;423;06/04/2021;R$4118,73;
10;423;06/04/2021;R$2712,22;
10;436;06/04/2021;R$30197,31;
10;445;06/04/2021;R$663,38;
11;413;06/04/2021;R$13726,18;
11;420;06/04/2021;R$518,95;
11;424;06/04/2021;R$3741,96;
11;431;06/04/2021;R$3730,19;
11;433;06/04/2021;R$25535,3;
11;444;06/04/2021;R$78,95;
11;445;06/04/2021;R$386,16;
12;420;06/04/2021;R$519,37;
12;424;06/04/2021;R$1956,08;
12;428;06/04/2021;R$4676,81;
12;431;06/04/2021;R$1485,05;
12;444;06/04/2021;R$147,58;
14;413;06/04/2021;R$13676,48;
14;414;06/04/2021;R$6158,92;
14;423;06/04/2021;R$4041,82;
15;417;06/04/2021;R$0;
15;421;06/04/2021;R$8110,56;
16;424;06/04/2021;R$4602,53;
16;445;06/04/2021;R$497,61;
17;424;06/04/2021;R$3619,13;
18;433;06/04/2021;R$19619,77;
18;435;06/04/2021;R$15324,04;
1;415;07/04/2021;R$4842,89;
1;417;07/04/2021;R$0;
1;432;07/04/2021;R$741,93;
2;414;07/04/2021;R$9439,58;
2;420;07/04/2021;R$874,89;
2;430;07/04/2021;R$0;
2;436;07/04/2021;R$34643,61;
3;416;07/04/2021;R$10428,21;
3;417;07/04/2021;R$0;
3;421;07/04/2021;R$16761,52;
3;442;07/04/2021;R$0;
3;444;07/04/2021;R$184,26;
3;445;07/04/2021;R$1079,93;
4;423;07/04/2021;R$2018,73;
4;428;07/04/2021;R$7493,35;
4;443;07/04/2021;R$2886,66;
7;423;07/04/2021;R$2608,57;
7;426;07/04/2021;R$1419,98;
7;436;07/04/2021;R$34710,07;
7;440;07/04/2021;R$1813;
7;441;07/04/2021;R$489,42;
7;443;07/04/2021;R$2849,41;
8;416;07/04/2021;R$10028,55;
8;436;07/04/2021;R$43562,48;
9;422;07/04/2021;R$19,96;
9;431;07/04/2021;R$3091,42;
10;425;07/04/2021;R$1302,91;
10;427;07/04/2021;R$0;
10;434;07/04/2021;R$6352,66;
10;443;07/04/2021;R$2931,85;
11;425;07/04/2021;R$972,82;
11;444;07/04/2021;R$186,27;
12;415;07/04/2021;R$2232,05;
12;420;07/04/2021;R$1164,09;
12;421;07/04/2021;R$4641,37;
12;427;07/04/2021;R$16,99;
14;432;07/04/2021;R$281,13;
14;441;07/04/2021;R$364,47;
14;444;07/04/2021;R$152,91;
15;421;07/04/2021;R$12175,24;
